Unspecified,,,,,,,,,,,
Unspecified,,,,,,,,,,,
Project,Project Title,Total Project Cost (KES),Funding Type,Funding Source,Start Date (Planned),Start Date (Actual),Duration (Months),Vision 2030 Flagship Ministry,MTEF Sector,Implementing Agency,Implementation Status
2010/052149,Construction Of Samia District Headquarters,"10,000,000",GoK; Unspecified,Government of Kenya,01/04/2009,01/04/2009,41 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052160,Construction Of Kirinyaga South District Headquarters,"17,829,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/10/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052161,Construction Of Mukurweini District Headquarters,"45,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/09/2010,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052164,Construction Of Gatundu District Headquarters,"9,200,000",GoK; Unspecified,Government of Kenya,07/01/2009,30/07/2010,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052166,Construction Of Kitui West District Headquarters,"7,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,30/10/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052167,Construction Of Mwingi East District Headquarters,"7,850,000",GoK; Unspecified,Government of Kenya,07/01/2009,08/03/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052170,Construction Of Nyando District Headquarters,"5,720,000",GoK; Unspecified,Government of Kenya,07/01/2010,08/02/2010,23 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Planned
2010/052171,Construction Of Marakwet East District Headquarters,"8,300,000",GoK; Unspecified,Government of Kenya,07/01/2009,07/01/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052174,Construction Of Marakwet West District Headquarters,"6,500,000",GoK; Unspecified,Government of Kenya,07/01/2009,07/01/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052177,Construction Of Transmara West District Headquarters,"6,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,07/01/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052179,Construction Of Turkana East District Headquarters,"5,000,000",GoK; Unspecified,Government of Kenya,07/01/2009,07/01/2009,35 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052189,Proposed Construction Of 24 No. Housing Flats At Mwingi Police Station,"76,853,550",GoK; Unspecified,Government of Kenya,13/01/2009,13/01/2009,23 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052196,Proposed Construction Of Administration Block At Kisumu Kondele Police Station,"52,161,692",GoK; Unspecified,Government of Kenya,01/04/2010,01/04/2010,11 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052199,Proposed Construction Of An Administration Block At Rachuonyo Oyugis Police Station,"54,328,362",GoK; Unspecified,Government of Kenya,01/04/2010,01/04/2010,9 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052205,Proposed Construction Of Administration Block And 24 Flats At Nandi North Kaimosi Police Station,"175,101,269",GoK; Unspecified,Government of Kenya,02/01/2010,02/01/2010,17 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
2010/052212,Proposed Roofing And Re-Furbishment Of 54 No. Block Type E Flats At Kapu Police Line Embakasi,"152,399,814",GoK; Unspecified,Government of Kenya,03/03/2009,03/03/2009,11 months,Unspecified,"Governance, Justice, Law and Order (GJLOS)",102 - Ministry of Interior and Coordination of National Government,Ongoing
